Record Name,Established,Company Name,Cellar Door Address,T,F,W,Facebook,Twitter,GI Zone,GI Region,All CEO,CEO,All Winemaker,Winemakers,All Sales,All Marketing,Sales & Marketing Manager,Vineyards,Variety used in production,Tonnes Crushed,Cases,Production,Storage Capacity,Fermentation Capacity,Products,Brands,Exports to,Site Facilities,Other Services,Cellar Door Location,URL,ID,SRC,Winery Address,Chief Executives,Formerly,Senior Winemaker/Production,Winemaker,Vineyard Manager (Frankland River),Vineyard Manager (Margaret River),All Restaurant,Cellar Door/Restaurant Manager,Distributors,Winery Location,Chief Executive,All Prod Mgr,Chief Winemaker/Production Manager/Marketing Manager,Vineyard Address,Contract Winemaker,Viticulturist,Vineyard Location,Manager,All Managment,Directors,All Owner,Proprietors,Viticulturist/Production Manager,Office Administration,Partner,Chief Executive Officer,Chief Operations Officer,General Manager Asia Pacific,Group Chief Winemaker,Group White Winemaker,Group Sparkling Winemaker,Group Viticulturist,Group Bulk Wine Trading Manager,Brand PR Executive - Australia,Director,Director/Proprietor,Chief Executive/Owners,Chief Winemaker,Partners,Assistant Winemaker/Viticulturist/Production Manager,Marketing,Owners,Chief Winemaker/Brand & Marketing Manager,Production & Export,Executive Director Marketing,Production Manager,General Manager,Contract Winemaker/Viticulture Consultant,Cellar Door Supervisor,Owner,Assistant Winemaker,Senior Winemaker,Vineyard Manager,Accounts/Marketing,Wholesale,Viticulturist/Production Manager/Marketing,Sales Manager,Brand Manager,Marketing Manager,Export Manager,Consultant Winemaker,Export & National Sales,Sales Director,Viticulturists,Production Manager/Marketing,Managing Director,All Board,Company Secretary,General Manager Operations,Master Distiller,Director Sales & Marketing,Export Manager (UK/Eupart),Human Resources Manager,Consultant Viticulturist,Contract Winemakers,Global Senior Brand Manager - SA Brands,Chief Executive/Owner,Production Manager/Marketing & Sales Manager,Director/General Manager,Finance Manager,Viticulturist & Grower Liaison Officer/Sales & Marketing Manager,Production Manager/Sales & Marketing Manager,Proprietor,Assistant Winemaker/Vineyard Manager,Cellar Door,Manager - Production & Wine Supply,Marketing Director,Sales & Marketing,Viticulturists/Production Managers,Master of Wine
Acacia Ridge Winery,1997,"","",(03) 9730 1492,(03) 9730 2292,www.acaciaridgeyarravalley.com,Acacia Ridge Vineyard Yarra Valley,"",Port Phillip,Yarra Valley,Gavan Oakley (Chief Executive),"","","","",Acacia Ridge (Brands),"",10 ha,"Merlot, Pinot Gris, Shiraz, Chardonnay, Cabernet Sauvignon",Less than 10,Less than 999,Wine is made off site,"","",table wine,Acacia Ridge,"","Concerts/Festivals, Picnic facilities, Tours, Tutored tastings","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=10,10,Winebiz Australia,"","","","","","","","","","","",Gavan Oakley,"","","169 Gulf Road, Yarra Glen, VIC 3775","","","-37.6310089,145.38606249999998","","","",Patricia Oakley (Partner),"","","",Patricia Oakley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accolade Wines,1853,Accolade Wines,"",(08) 8392 2222,(08) 8392 2202,www.accolade-wines.com,"",@AccoladeWinesAU,Barossa + Fleurieu + Greater Perth + Limestone Coast + Lower Murray + Mount Lofty Ranges + Port Phillip + South West Australia + Tasmania,Barossa Valley + McLaren Vale + Swan District + Padthaway + Robe + Riverland + Clare Valley + Yarra Valley + Margaret River,"Paul Schaafsma (Chief Executive Officer), Peta Barclay (Brand PR Executive - Australia)","","Paul Lapsley (Group Chief Winemaker), Tom Newton (Group White Winemaker), Ed Carr (Group Sparkling Winemaker), Alex Sas (Group Viticulturist)","","","Peta Barclay (Brand PR Executive - Australia), Hardys, Renmano, Berri Estates, Stanley, Leasingham, Houghton, Moondah Brook, Yarra Burn, Banrock Station, Reynella, House of Arras, Omni, Bay of Fires, Tintara, Brookland Valley, Goundrey, Amberley, Starve Dog Lane, Eddystone Point, Grant Burge Wines, Ta_Ku, Mud House, Waipara Hills (Brands)","","Barossa Valley, 130.68 ha; McLaren Vale, 76.31 ha; Swan District, 196.56 ha; Padthaway, 161.08 ha; Robe, 69 ha; Riverland, 232.98 ha; Clare Valley, 60.5 ha; Yarra Valley, 68.4 ha; Margaret River, 15.85 ha; Tasmania, 19.67 ha","Riesling, Mataro, Montepulciano, Petit Verdot, Sauvignon Blanc, Pinot Gris, Pinot Noir, Müller-Thurgau, Chenin Blanc, Tempranillo, Cabernet Franc, Semillon, Traminer, Savagnin, Verdelho, Chardonnay, Colombard, Fiano, Viognier, Malbec, Shiraz, Sangiovese, Merlot, Cabernet Sauvignon, Grenache","Over 20,000","Over 1,500,000","","","","table, fortified and sparkling wines","Hardys, Renmano, Berri Estates, Stanley, Leasingham, Houghton, Moondah Brook, Yarra Burn, Banrock Station, Reynella, House of Arras, Omni, Bay of Fires, Tintara, Brookland Valley, Goundrey, Amberley, Starve Dog Lane, Eddystone Point, Grant Burge Wines, Ta_Ku, Mud House, Waipara Hills","Belgium-Luxembourg, Canada, China, Denmark, England, Fiji, France, Germany, Hong Kong, Nepal, Portugal, Singapore, Sweden, Switzerland, Taiwan, Thailand, The Netherlands, United States","",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=843,843,Winebiz Australia,"Reynell Road, Reynella, SA 5161","","","","","","","","","Distinction Wines (on-premise), Accolade Wines, Aust.; Hancocks, NZ","-35.0937348,138.54428940000002","","","","","","","","",Michael East (General Manager Asia Pacific),"","","","","","",Paul Schaafsma,Steven Gorst,Michael East,Paul Lapsley,Tom Newton,Ed Carr,Alex Sas,Peter Harvey,Peta Barclay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Across the Lake,1999,Across the Lake Farming Trust,"",0427 973 206,"","","","",South West Australia,Great Southern,"","",Derek Stanton (Viticulturist),"","","","","Lake Grace, 2 ha",Shiraz,Less than 10,Less than 999,Wine is made off site,"","",table wine,"","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=12,12,Winebiz Australia,"","","","","","","","","","","","","","","112 White Dan Road, Lake Grace, WA 6353","",Derek Stanton,"","",Kristie Stanton (Director),"","","","","","","","","","","","","","","",Kristie Stanton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ada River Vineyard,1983,Kelliher Wines Pty Ltd,"",(03) 5628 1661,"",adariver.com,"","",Gippsland,"",Peter Kelliher (Chief Executive),"",Peter Kelliher (Winemaker),"","",Ada River Vineyard (Brands),"",5.5 ha,"Chardonnay, Pinot Gris, Cabernet Sauvignon, Merlot, Traminer, Shiraz, Pinot Noir, Cabernet Franc",Less than 10,"1,000-1,499",Wine is made on site,"","",table wine,Ada River Vineyard,"",Crafts/Local Produce,"","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=13,13,Winebiz Australia,"2330 Main Road, Neerim South, VIC 3831","","","",Peter Kelliher,"","","","","Waratah Wines, The Wine Encounter","-37.979851,145.946417",Peter Kelliher,"","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide Winemakers,2010,Adelaide Winemakers Pty Ltd,"281 Tatachilla Road, McLaren Vale, SA 5171",0419 383 907,(08) 8323 8636,www.adelaidewinemakers.com.au,AdelaideWinemakers,@ADLWinemakers,"","","","","","","","Blackbilly, Clarence Hill, Quorum, Old Gentlemen, Landcross (Brands)","","","Cabernet Franc, Cabernet Sauvignon, Chardonnay, Grenache, Malbec, Marsanne, Mataro, Merlot, Petit Verdot, Pinot Gris, Pinot Noir, Riesling, Sangiovese, Sauvignon Blanc, Shiraz, Tempranillo, Verdelho",50-99,"10,000-19,999",Wine is made on site,"13,000,000 litres","10,000,000 litres",table and sparkling wines,"Blackbilly, Clarence Hill, Quorum, Old Gentlemen, Landcross","Canada, China, Denmark, England, Germany, Hong Kong, Indonesia, Japan, Laos, Malaysia, New Zealand, Norway, Philippines, Russia, Singapore, South Korea, Sweden, Switzerland, United States","Tours, Tutored tastings","Contract Winemaking, Viticulture Consulting","-35.222149,138.514225",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2016,2016,Winebiz Australia,"","","","","","","","","","Options, SA, NT","","","","","","","","","",Nick Haselgrove (Director/Proprietor),"",Nick Haselgrove (Director/Proprietor),"","","","","","","","","","","","","","",Nick Haselgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelina Wines,2001,"","",(08) 8842 1549,(08) 8842 2909,www.adelina.com.au,"","",Mount Lofty Ranges,Clare Valley,"The Gardner Family , The McBryde Family (Chief Executive/Owners)","","Colin McBryde, Jennie Gardner (Winemakers)","Colin McBryde, Jennie Gardner","",Adelina Wines (Brands),"","Sevenhill, 4.7 ha","Arneis, Grenache, Mataro, Nebbiolo, Pedro Ximenes, Shiraz",20-49,Less than 999,Wine is made on site,"60,000 litres","10,000 litres",table and fortified wines,Adelina Wines,"Canada, Denmark, England, Ireland, Israel, Norway, United States, Wales","",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=14,14,Winebiz Australia,"106 Wendouree East Road, Sevenhill, SA 5453","","","","","","","","","Bibendum Wine Co., VIC, NSW; Vardon Lane Fine Wines, SA; Bouchon Wines, QLD, NT; Epicure Sales & Marketing, WA","-33.862866,138.63506899999993","","","","","","","","","","","The Gardner Family , The McBryde Family (Chief Executive/Owners)","","","","","","","","","","","","","","","","The Gardner Family , The McBryde Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adina Vineyard,1980,Adina Vineyard Pty Ltd,"492 Lovedale Road, Lovedale, NSW 2325",(02) 4930 7473,(02) 4930 7953,www.adinavineyard.com.au,"","",Hunter Valley,Hunter,Peter O'Meara (Chief Executive),"","Daniel Binet (Chief Winemaker), Jenny Bright (Viticulturist)","","",Adina Vineyard (Brands),"",18.3 ha,"Merlot, Chardonnay, Cabernet Franc, Pinot Gris, Pinot Noir, Sangiovese, Sauvignon Blanc, Verdelho, Semillon, Shiraz, Tempranillo, Cabernet Sauvignon",50-99,"2,500-4,999",Wine is made off site,"","","table, fortified and sparkling wines",Adina Vineyard,"","Accommodation, Cafe/Restaurant, Conferences/Functions, Crafts/Local Produce, Tours","","-32.75297579038571,151.37017607688904",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2744,2744,Winebiz Australia,"","","","","","","","","","","",Peter O'Meara,"","","","",Jenny Bright,"","","","","","","","","","","","","","","","","","","","","",Daniel Binet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adinfern Estate,1996,MJ & JM Smith,"8772 Bussell Highway, Cowaramup, WA 6284",(08) 9755 5272,(08) 9755 5206,www.adinfern.com,adinfern,@AdinfernEstate,South West Australia,Margaret River,"","","Kevin McKay (Contract Winemaker), Mervyn Smith (Assistant Winemaker/Viticulturist/Production Manager)","","","Ian Smith (Marketing), Adinfern Estate, Adinfern Musterers (Brands)","",16.9 ha,"Malbec, Chardonnay, Shiraz, Pinot Noir, Semillon, Cabernet Sauvignon, Merlot, Sauvignon Blanc",20-49,"2,500-4,999","Wine is made on site, off site","","","table, fortified and sparkling wines","Adinfern Estate, Adinfern Musterers","China, Singapore","Accommodation, Crafts/Local Produce, Gallery, Tours","","-33.883278550166736,115.0871193408966",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=15,15,Winebiz Australia,"","","","","","","","","","","","",Mervyn Smith (Assistant Winemaker/Viticulturist/Production Manager),"","",Kevin McKay,"","","","","","Mervyn Smith, Janis Smith (Partners)","","","","","","","","","","","","","","","","","","Mervyn Smith, Janis Smith",Mervyn Smith,Ian Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affleck Vineyard,1976,"","",(02) 6236 9276,"",www.affleck.com.au,"","",Southern New South Wales,Canberra District,"","","Susan Hendry, Ian Hendry (Winemakers)","Susan Hendry, Ian Hendry","",Affleck Vineyard (Brands),"",1.5 ha,"Chardonnay, Shiraz, Pinot Noir, Muscat Gordo Blanco",Less than 10,Less than 999,Wine is made on site,"30,000 litres","20,000 litres",table and fortified wines,Affleck Vineyard,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=16,16,Winebiz Australia,"154 Millynn Road, Bywong, NSW 2621","","","","","","","","","","-35.2560867,149.4404422","","","","","","","","","","","Susan Hendry, Ian Hendry (Owners)","","","","","","","","","","","","","","","","","","","","","Susan Hendry, Ian Hendry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Hours Wine,2006,"","455 North Jindong Road, Margaret River, WA 6285",0438 737 587,(08) 9758 7788,www.afterhourswine.com.au,afterhourswine,"",South West Australia,Margaret River,"","",Phil Potter (Chief Winemaker/Brand & Marketing Manager),"","","Phil Potter (Chief Winemaker/Brand & Marketing Manager), After Hours, 9 to 5 (Brands)","",8.6 ha,"Merlot, Sauvignon Blanc, Shiraz, Semillon, Chardonnay, Cabernet Sauvignon",20-49,"2,500-4,999",Wine is made on site,"","",table wine,"After Hours, 9 to 5","",Tutored tastings,"","-33.733967,115.20106699999996",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=4476,4476,Winebiz Australia,"","","","","","","","","","","","","","","","","","","","","","Warwick Mathews, Cherylyn Mathews (Owners)","","","","","","","","","","","","","","","","","","","","","Warwick Mathews, Cherylyn Mathews",Phil Potter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainsworth & Snelson Wines,2001,Ainsworth & Snelson Wines Pty Ltd,"",(03) 5281 1811,(03) 5281 1877,www.ainsworthandsnelson.com,"","",Barossa + Limestone Coast + Mount Lofty Ranges + Port Phillip,Barossa Valley + Coonawarra + Clare Valley + Yarra Valley,Gregg Ainsworth (Executive Director Marketing),"",Brett Snelson (Chief Winemaker),"","","Gregg Ainsworth (Executive Director Marketing), Ainsworth & Snelson (Brands)","","Barossa Valley, 5 ha; Coonawarra, 5 ha; Clare Valley, 3 ha; Yarra Valley, 3 ha","Shiraz, Cabernet Sauvignon, Chardonnay, Riesling",50-99,"2,500-4,999",Wine is made off site,"80,000 litres","60,000 litres",table wine,Ainsworth & Snelson,"Canada, China, Denmark, England, France, Hong Kong, Ireland, Norway, Singapore","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=19,19,Winebiz Australia,"131 Lumb Road, Sutherlands Creek, VIC 3331","","","","","","","","",Wineorder,"-37.83959296697009,144.95913326740265","","","","","","","","",Brett Snelson (Director),"","","","","","","","","","","","","","","",Brett Snelson,"","",Brett Snelson,"","","","","",Paul Finch,Gregg Ainsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
